Rk,Player,WS,Season▼,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,Brook Lopez,0.4,2022-23,34,MIL,5,5,0,182,39,67,32,50,7,17,10,13,14,18,32,6,7,9,11,10,95,0.582,0.64,0.412,0.769,0.653,0.634,C
2,Pat Connaughton,0.4,2022-23,30,MIL,4,0,0,88,17,30,6,7,11,23,3,4,4,16,20,7,4,1,2,10,48,0.567,0.857,0.478,0.75,0.756,0.75,G
3,Khris Middleton,0.4,2022-23,31,MIL,5,5,0,173,40,86,27,54,13,32,26,30,7,25,32,31,3,0,17,15,119,0.465,0.5,0.406,0.867,0.6,0.541,F-G
4,Bobby Portis,0.2,2022-23,27,MIL,5,2,0,107,20,41,15,23,5,18,3,3,10,31,41,6,3,2,4,15,48,0.488,0.652,0.278,1,0.567,0.549,F
5,Grayson Allen,0.2,2022-23,27,MIL,5,5,0,149,19,41,5,12,14,29,6,7,1,11,12,9,2,0,4,7,58,0.463,0.417,0.483,0.857,0.658,0.634,G
6,Jrue Holiday,0.2,2022-23,32,MIL,5,5,1,191,34,85,22,43,12,42,9,13,4,29,33,40,5,2,12,12,89,0.4,0.512,0.286,0.692,0.491,0.471,G
7,Joe Ingles,0.1,2022-23,35,MIL,5,0,0,89,12,23,2,3,10,20,0,0,1,5,6,10,3,1,6,7,34,0.522,0.667,0.5,,0.739,0.739,F-G
8,Wesley Matthews,0.1,2022-23,36,MIL,2,0,0,41,4,9,0,2,4,7,0,0,1,2,3,1,2,1,0,3,12,0.444,0,0.571,,0.667,0.667,G
9,Goran Dragić,0,2022-23,36,MIL,2,0,0,7,0,2,0,1,0,1,4,4,0,0,0,1,0,0,0,0,4,0,0,0,1,0.532,0,G
10,MarJon Beauchamp,0,2022-23,22,MIL,2,0,0,5,2,3,1,2,1,1,0,0,0,1,1,0,0,0,0,0,5,0.667,0.5,1,,0.833,0.833,G
11,Thanasis Antetokounmpo,0,2022-23,30,MIL,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,F
12,Meyers Leonard,0,2022-23,30,MIL,2,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,0,0,C-F
13,Jevon Carter,0,2022-23,27,MIL,4,0,0,49,2,9,1,2,1,7,0,0,0,4,4,4,1,0,0,1,5,0.222,0.5,0.143,,0.278,0.278,G
14,Giannis Antetokounmpo,0,2022-23,28,MIL,3,3,1,91,28,53,28,50,0,3,14,31,8,25,33,16,1,2,14,9,70,0.528,0.56,0,0.452,0.525,0.528,F-G
15,Jae Crowder,-0.1,2022-23,32,MIL,4,0,0,41,3,13,3,7,0,6,1,2,1,3,4,3,2,0,1,5,7,0.231,0.429,0,0.5,0.252,0.231,F
16,Giannis Antetokounmpo,1.7,2021-22,27,MIL,12,12,1,448,140,285,131,244,9,41,91,134,26,144,170,81,8,15,54,43,380,0.491,0.537,0.22,0.679,0.552,0.507,F-G
17,Brook Lopez,1.1,2021-22,33,MIL,12,12,0,332,50,102,44,74,6,28,21,23,27,44,71,8,6,18,11,33,127,0.49,0.595,0.214,0.913,0.566,0.52,C
18,Pat Connaughton,1,2021-22,29,MIL,12,0,0,318,42,88,17,24,25,64,5,5,3,48,51,11,5,4,7,14,114,0.477,0.708,0.391,1,0.632,0.619,G
19,Wesley Matthews,0.8,2021-22,35,MIL,12,12,0,345,25,64,7,19,18,45,6,9,9,28,37,14,9,3,6,27,74,0.391,0.368,0.4,0.667,0.544,0.531,G
20,Grayson Allen,0.7,2021-22,26,MIL,12,5,0,305,37,82,18,34,19,48,7,11,5,30,35,15,8,4,9,22,100,0.451,0.529,0.396,0.636,0.576,0.567,G
