Rk,Team,Date,,Opp,Result
1,ATL,2024-03-15,@,UTA,L 122-124
2,CHO,2024-03-15,,PHO,L 96-107
3,ORL,2024-03-15,@,TOR,W 113-103
4,SAS,2024-03-15,,DEN,L 106-117
5,LAC,2024-03-15,@,NOP,L 104-112
6,UTA,2024-03-15,,ATL,W 124-122
7,PHO,2024-03-15,@,CHO,W 107-96
8,NOP,2024-03-15,,LAC,W 112-104
9,MIA,2024-03-15,@,DET,W 108-95
10,TOR,2024-03-15,,ORL,L 103-113
11,DEN,2024-03-15,@,SAS,W 117-106
12,DET,2024-03-15,,MIA,L 95-108
13,HOU,2024-03-14,,WAS,W 135-119
14,BOS,2024-03-14,,PHO,W 127-112
15,WAS,2024-03-14,@,HOU,L 119-135
16,POR,2024-03-14,,NYK,L 93-105
17,LAC,2024-03-14,@,CHI,W 126-111
18,DAL,2024-03-14,@,OKC,L 119-126
19,PHO,2024-03-14,@,BOS,L 112-127
20,NYK,2024-03-14,@,POR,W 105-93
21,PHI,2024-03-14,@,MIL,L 105-114
22,MIL,2024-03-14,,PHI,W 114-105
23,OKC,2024-03-14,,DAL,W 126-119
24,CHI,2024-03-14,,LAC,L 111-126
25,TOR,2024-03-13,@,DET,L 104-113
26,DET,2024-03-13,,TOR,W 113-104
27,IND,2024-03-13,,CHI,L 129-132 (OT)
28,BRK,2024-03-13,@,ORL,L 106-114
29,MIA,2024-03-13,,DEN,L 88-100
30,SAC,2024-03-13,,LAL,W 120-107
31,CLE,2024-03-13,@,NOP,W 116-95
32,POR,2024-03-13,,ATL,W 106-102
33,NOP,2024-03-13,,CLE,L 95-116
34,DAL,2024-03-13,,GSW,W 109-99
35,LAL,2024-03-13,@,SAC,L 107-120
36,MEM,2024-03-13,,CHO,L 98-110
37,GSW,2024-03-13,@,DAL,L 99-109
38,DEN,2024-03-13,@,MIA,W 100-88
39,ORL,2024-03-13,,BRK,W 114-106
40,ATL,2024-03-13,@,POR,L 102-106
41,CHO,2024-03-13,@,MEM,W 110-98
42,CHI,2024-03-13,@,IND,W 132-129 (OT)
43,UTA,2024-03-12,,BOS,L 107-123
44,PHI,2024-03-12,@,NYK,L 79-106
45,MIL,2024-03-12,@,SAC,L 94-129
46,OKC,2024-03-12,,IND,L 111-121
47,LAC,2024-03-12,,MIN,L 100-118
48,SAS,2024-03-12,,HOU,L 101-103
49,IND,2024-03-12,@,OKC,W 121-111
50,MEM,2024-03-12,,WAS,W 109-97
51,MIN,2024-03-12,@,LAC,W 118-100
52,HOU,2024-03-12,@,SAS,W 103-101
53,WAS,2024-03-12,@,MEM,L 97-109
54,NYK,2024-03-12,,PHI,W 106-79
55,SAC,2024-03-12,,MIL,W 129-94
56,BOS,2024-03-12,@,UTA,W 123-107
