Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2023-24,BOS,52,66,52,14,0.788,15965,2891,5954,1808,3157,1083,2797,1113,1376,702,2393,3095,1752,432,433,801,1101,7978,0.486,0.573,0.387,0.809,0.608,0.577
2,2023-24,DEN,47,67,47,20,0.701,16105,2955,5954,2186,3870,769,2084,1014,1334,719,2239,2958,1963,474,371,843,1222,7693,0.496,0.565,0.369,0.76,0.588,0.561
3,2023-24,OKC,46,66,46,20,0.697,15940,2952,5906,2062,3650,890,2256,1177,1413,577,2173,2750,1777,544,443,822,1271,7971,0.5,0.565,0.395,0.833,0.611,0.575
4,2023-24,MIN,45,66,45,21,0.682,15965,2723,5620,1905,3495,818,2125,1207,1538,626,2291,2917,1738,497,398,956,1275,7471,0.485,0.545,0.385,0.785,0.593,0.557
5,2023-24,MIL,43,67,43,24,0.642,16155,2903,5926,1948,3374,955,2552,1307,1691,614,2336,2950,1772,459,337,847,1302,8068,0.49,0.577,0.374,0.773,0.605,0.57
6,2023-24,CLE,42,66,42,24,0.636,15965,2783,5807,1879,3340,904,2467,1038,1361,673,2255,2928,1838,490,320,882,1200,7508,0.479,0.563,0.366,0.763,0.586,0.557
7,2023-24,LAC,42,66,42,24,0.636,15865,2820,5730,1961,3516,859,2214,1212,1482,656,2160,2816,1702,512,336,861,1242,7711,0.492,0.558,0.388,0.818,0.604,0.567
8,2023-24,NOP,40,66,40,26,0.606,15865,2826,5796,2012,3660,814,2136,1190,1551,713,2232,2945,1785,543,327,871,1242,7656,0.488,0.55,0.381,0.767,0.591,0.558
9,2023-24,ORL,39,67,39,28,0.582,16180,2709,5691,1976,3621,733,2070,1268,1681,718,2139,2857,1641,540,351,994,1374,7419,0.476,0.546,0.354,0.754,0.577,0.54
10,2023-24,PHO,39,67,39,28,0.582,16180,2847,5782,2045,3641,802,2141,1327,1652,690,2278,2968,1780,489,400,994,1222,7823,0.492,0.562,0.375,0.803,0.601,0.562
11,2023-24,NYK,39,66,39,27,0.591,15840,2696,5847,1837,3482,859,2365,1151,1468,850,2175,3025,1573,483,269,884,1165,7402,0.461,0.528,0.363,0.784,0.57,0.535
12,2023-24,SAC,38,65,38,27,0.585,15750,2879,5929,1941,3392,938,2537,1001,1359,680,2150,2830,1872,484,256,867,1304,7697,0.486,0.572,0.37,0.737,0.59,0.565
13,2023-24,DAL,38,67,38,29,0.567,16080,2904,6012,1917,3354,987,2658,1177,1547,652,2174,2826,1708,455,319,833,1247,7972,0.483,0.572,0.371,0.761,0.596,0.565
14,2023-24,IND,37,67,37,30,0.552,16105,3125,6181,2233,3809,892,2372,1109,1419,665,2096,2761,2054,513,396,885,1437,8251,0.506,0.586,0.376,0.782,0.606,0.578
15,2023-24,PHI,36,66,36,30,0.545,15890,2746,5898,1984,3769,762,2129,1348,1630,730,2085,2815,1623,558,377,780,1365,7602,0.466,0.526,0.358,0.827,0.575,0.53
16,2023-24,MIA,36,66,36,30,0.545,15865,2624,5644,1818,3472,806,2172,1214,1493,623,2157,2780,1699,493,228,842,1173,7268,0.465,0.524,0.371,0.813,0.577,0.536
17,2023-24,LAL,36,67,36,31,0.537,16205,2919,5861,2142,3800,777,2061,1233,1597,543,2305,2848,1906,507,373,918,1067,7848,0.498,0.564,0.377,0.772,0.598,0.564
18,2023-24,GSW,34,65,34,31,0.523,15750,2824,5991,1861,3426,963,2565,1075,1377,802,2236,3038,1879,446,281,941,1298,7686,0.471,0.543,0.375,0.781,0.583,0.552
19,2023-24,CHI,32,67,32,35,0.478,16355,2790,6001,2003,3805,787,2196,1126,1418,743,2174,2917,1656,507,326,824,1268,7493,0.465,0.526,0.358,0.794,0.566,0.53
20,2023-24,HOU,31,66,31,35,0.47,15965,2733,5963,1930,3668,803,2295,1201,1561,747,2283,3030,1630,509,294,860,1388,7470,0.458,0.526,0.35,0.769,0.562,0.526
21,2023-24,ATL,29,66,29,37,0.439,15940,2845,6135,1947,3656,898,2479,1292,1606,852,2112,2964,1721,492,302,879,1217,7880,0.464,0.533,0.362,0.804,0.576,0.537
22,2023-24,UTA,29,66,29,37,0.439,15965,2819,5995,1938,3550,881,2445,1246,1508,830,2216,3046,1852,441,387,1025,1258,7765,0.47,0.546,0.36,0.826,0.583,0.544
23,2023-24,BRK,26,66,26,40,0.394,15915,2720,5930,1813,3463,907,2467,1034,1365,752,2130,2882,1747,455,337,847,1258,7381,0.459,0.524,0.368,0.758,0.565,0.535
24,2023-24,MEM,23,67,23,44,0.343,16155,2561,5854,1673,3292,888,2562,1073,1408,689,2131,2820,1661,528,419,1014,1290,7083,0.437,0.508,0.347,0.762,0.547,0.513
25,2023-24,TOR,23,67,23,44,0.343,16205,2875,6054,2079,3810,796,2244,1087,1458,742,2171,2913,1958,512,330,898,1230,7633,0.475,0.546,0.355,0.746,0.57,0.541
26,2023-24,POR,19,66,19,47,0.288,16040,2603,5904,1828,3707,775,2197,1128,1415,815,1962,2777,1514,520,294,998,1349,7109,0.441,0.493,0.353,0.797,0.545,0.507
27,2023-24,CHO,17,67,17,50,0.254,16130,2697,5901,1903,3652,794,2249,977,1250,659,2092,2751,1648,457,308,921,1241,7165,0.457,0.521,0.353,0.782,0.555,0.524
28,2023-24,SAS,14,67,14,53,0.209,16130,2812,6075,1967,3667,845,2408,1049,1339,694,2220,2914,1993,483,419,1001,1182,7518,0.463,0.536,0.351,0.783,0.564,0.532
29,2023-24,DET,12,66,12,54,0.182,15915,2755,5867,2012,3771,743,2096,1147,1462,726,2175,2901,1739,411,321,1026,1423,7400,0.47,0.534,0.354,0.785,0.568,0.533
30,2023-24,WAS,11,66,11,55,0.167,15865,2848,6046,2040,3727,808,2319,1035,1349,608,2072,2680,1862,508,341,912,1302,7539,0.471,0.547,0.348,0.767,0.568,0.538
