Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,LeBron James,5.2,2017-18,33,CLE,22,22,1,922,275,510,236,396,39,114,159,213,31,169,200,198,30,23,94,52,748,0.539,0.596,0.342,0.746,0.619,0.577,F-G
2,Nikola Jokić,5,2022-23,27,DEN,20,20,1,789,227,414,192,338,35,76,111,139,69,200,269,190,21,20,70,69,600,0.548,0.568,0.461,0.799,0.631,0.591,C-F
3,Kawhi Leonard,4.9,2018-19,27,TOR,24,24,1,939,243,496,188,351,55,145,191,216,54,164,218,94,40,17,74,56,732,0.49,0.536,0.379,0.884,0.619,0.545,F
4,LeBron James,4.7,2015-16,31,CLE,21,21,1,822,219,417,187,323,32,94,82,124,42,158,200,160,49,27,75,54,552,0.525,0.579,0.34,0.661,0.585,0.564,F-G
5,Anthony Davis,4.5,2019-20,26,LAL,21,21,1,769,205,359,182,299,23,60,149,179,55,149,204,73,26,30,53,56,582,0.571,0.609,0.383,0.832,0.665,0.603,F-C
6,LeBron James,4.3,2013-14,29,MIA,20,20,1,763,192,340,157,254,35,86,129,160,14,127,141,95,36,11,61,46,548,0.565,0.618,0.407,0.806,0.668,0.616,F-G
7,LeBron James,4.3,2019-20,35,LAL,21,21,1,762,214,382,170,263,44,119,108,150,28,198,226,184,26,18,84,40,580,0.56,0.646,0.37,0.72,0.647,0.618,F-G
8,LeBron James,4.3,2016-17,32,CLE,18,18,1,744,217,384,173,277,44,107,113,162,19,145,164,141,35,23,72,43,591,0.565,0.625,0.411,0.698,0.649,0.622,F-G
9,Kevin Durant,4,2017-18,29,GSW,21,21,1,807,212,435,165,297,47,138,137,152,13,150,163,99,15,25,50,43,608,0.487,0.556,0.341,0.901,0.606,0.541,F-G
10,Stephen Curry,3.9,2014-15,26,GSW,21,21,1,826,200,439,102,207,98,232,96,115,20,85,105,134,39,3,82,47,594,0.456,0.493,0.422,0.835,0.607,0.567,G
11,Jimmy Butler,3.8,2021-22,32,MIA,17,17,1,629,166,328,143,260,23,68,111,132,41,84,125,78,35,11,25,25,466,0.506,0.55,0.338,0.841,0.604,0.541,F-G
12,Giannis Antetokounmpo,3.7,2020-21,26,MIL,21,21,1,800,250,439,237,369,13,70,121,206,59,210,269,108,21,25,64,61,634,0.569,0.642,0.186,0.587,0.599,0.584,F-G
13,Jimmy Butler,3.5,2019-20,30,MIA,21,21,1,806,144,295,129,252,15,43,164,191,46,90,136,127,41,14,59,37,467,0.488,0.512,0.349,0.859,0.616,0.514,F-G
14,Jimmy Butler,3.4,2022-23,33,MIA,22,22,0,874,207,442,179,364,28,78,150,186,47,95,142,129,39,14,41,37,592,0.468,0.492,0.359,0.806,0.565,0.5,F-G
15,Stephen Curry,3.4,2016-17,28,GSW,17,17,1,601,151,312,79,140,72,172,103,114,22,84,106,114,34,4,58,37,477,0.484,0.564,0.419,0.904,0.659,0.599,G
16,Kyrie Irving,3.4,2015-16,23,CLE,21,21,0,774,201,423,150,307,51,116,77,88,15,47,62,98,36,13,48,46,530,0.475,0.489,0.44,0.875,0.574,0.535,G
